fname_c1	fname_c2	lname_c1	lname_c2	by	bm	bd
DIETER	NA	FISCHER	NA	1950	12	16
GERHARD	HELMUT	KOERTIG	NA	1973	3	5
BERNHARD	NA	BECKER	NA	1925	1	10
RALF	NA	SCHMITT	NA	1966	6	13
KARL	NA	THOMAS	NA	1943	3	8
PETER	NA	WOLF	NA	1977	4	24
KLAUS	NA	KOEHLER	NA	1943	12	15
GUENTHER	NA	GRAF	NA	1964	1	10
THOMAS	STEFAN	KRAUSE	NA	1976	12	6
ANDREAS	NA	BECK	NA	2000	3	7
WOLFGANG	NA	ALBRECHT	NA	2007	12	19
HORST	NA	HOFFMANN	NA	1929	7	27
DIETER	NILS	SEIDEL	NA	1964	2	20
ANDREAS	NA	FISCHER	SCHWARZ	1946	11	26
WERNER	NA	SOMMER	NA	1995	11	28
GUENTHER	NA	BAUER	NA	1967	9	9
DIETER	SEBASTIAN	VOGT	NA	1949	5	8
KURT	NA	MEYER	NA	1936	1	6
CHRISTIAN	MARCEL	VOGEL	NA	1992	4	6
KARL	NA	OTTO	NA	1987	12	27
GUENTHER	NA	MEYER	NA	1977	3	14
MATTHIAS	NA	WERNER	NA	1960	10	19
PAUL	NA	WOLF	NA	1964	5	12
CARSTEN	NA	KOERTIG	NA	1945	12	20
THORSTEN	NA	BECKER	NA	1993	9	13
WOLFGANG	NA	SCHAEFER	NA	1978	12	19
WOLFGANG	NA	BECKER	NA	2004	10	2
GERD	NA	MAIER	NA	1957	3	22
MATTHIAS	NA	SCHULZE	NA	1963	3	26
HORST	ANDREAS	KOCH	NA	1979	12	25
PETER	NA	KUHN	NA	1981	2	20
PETER	NA	BECKER	NA	1930	1	30
HELMUT	NA	SCHMITT	NA	1981	9	10
ANDREAS	RALF	KOEHLER	NA	1958	7	29
MICHAEL	NA	FISCHER	NA	2003	2	14
HARALD	NA	WEISS	NA	1929	6	1
STEFAN	NA	MEYER	NA	1973	2	2
FRANK	NA	KUEHN	NA	2002	4	15
GUENTHER	CHRISTIAN	SCHMIDT	NA	1932	12	12
THOMAS	NA	WEBER	NA	1984	10	16
AXEL	NA	WOLF	NA	1972	8	12
GUENTHER	WOLFGANG	HERRMANN	NA	1930	8	3
FRANK	CHRISTIAN	FRANK	NA	1951	7	34
ROLF	NA	SCHMITZ	NA	1939	2	14
HORST	NA	HOFMANN	NA	1979	2	25
THOMAS	NA	SCHREIBER	NA	1930	3	28
MICHAEL	NA	SCHOLZ	NA	1957	12	1
HOLGER	NA	NEUMANN	NA	1988	10	26
JOACHIM	NA	KOERTIG	NA	1993	10	26
GUENTHER	NA	KOERTIG	NA	1962	7	30
WERNER	NA	SIMON	NA	1963	5	14
VOLKER	NA	BECKER	NA	1953	12	27
STEFAN	NA	SCHMITT	NA	1988	9	7
WERNER	NA	SOMMER	NA	1987	11	12
DANIEL	NA	MUELLER	NA	1954	6	21
OLAF	NA	BECKER	NA	1966	8	4
BERND	NA	MAIER	NA	1949	8	31
MANFRED	HANS	PETERS	NA	1987	5	25
SVEN	NA	ROTH	NA	1957	2	20
DIETER	NA	SCHNEIDER	NA	1963	4	3
UWE	NA	BAUER	NA	1971	9	30
CHRISTOPH	NA	LEHMANN	NA	1960	11	10
GUENTHER	NA	BERGER	NA	1962	5	26
MATTHIAS	NA	KRUEGER	NA	1976	1	1
CHRISTIAN	NA	GRAF	NA	1980	12	31
THOMAS	NA	SCHUBERT	NA	1987	6	21
MATTHIAS	NA	SCHMITZ	NA	1941	9	23
ALFRED	NA	SCHMIDT	NA	1939	8	30
BERND	NA	KOERTIG	NA	1982	11	15
STEFAN	NA	BERGMANN	NA	1950	11	5
GUENTHER	NA	JAETER	NA	1946	1	14
OTTO	NA	WOFLF	NA	1954	12	24
HELMUT	NA	NEUMANN	NA	1987	8	9
PETER	NA	PETERS	NA	1937	11	27
MICHAEL	NA	WAGNER	MAIER	1999	2	23
WOLFGANG	NA	WERNER	NA	1948	1	8
RALF	NA	POHL	NA	1983	6	16
CARSTEN	NA	OTTO	NA	1983	1	13
REINHARD	NA	MEYER	NA	1962	5	4
NORBERT	NA	HOFFMANN	NA	1980	6	25
MARTIN	NA	BUSCH	NA	1962	3	28
CHRISTIAN	NA	WEBER	NA	1969	5	14
HEINZ	NA	FRANK	NA	1978	10	20
MICHAEL	NA	WINKLER	NA	1930	11	19
PETER	NA	SCHMID	NA	1983	4	28
THOMAS	NA	WAGNER	NA	1960	9	26
GERHARD	NA	FUCHS	NA	1943	8	17
THORSTEN	NA	JUNG	NA	1975	6	4
WILHELM	NA	HARTMANN	NA	1979	6	5
UWE	NA	WERNER	NA	1965	4	24
KLAUS	NA	KRAUS	NA	1957	9	25
THOMAS	NA	GROSS	NA	1970	6	22
JENS	NA	WAGNER	NA	1986	8	14
KURT	NA	BOEHM	NA	1931	2	7
RALF	NA	MUELLER	NA	1972	6	9
CHRISTIAN	NA	BECKER	NA	1954	3	2
JUERGEN	NA	SCHMIDT	NA	1959	1	24
WALTER	NA	ENGEL	NA	1947	9	4
THORSTEN	NA	WINKLER	NA	1970	4	14
ROBERT	NA	HORN	NA	1957	6	7
CARSTEN	NA	JUNG	NA	1959	10	19
DIRK	NA	BRAUN	NA	1981	8	6
FRANK	NA	MEYER	NA	2008	10	18
CHRISTIAN	NA	LEHMANN	NA	1994	5	24
ANDREAS	NA	HARTMANN	NA	1984	1	5
STEFAN	NA	SAUER	NA	1957	11	29
CHRISTIAN	NA	HARTMANN	NA	1958	11	25
ROLF	NA	BECKER	NA	1928	1	3
WOLFGANG	MANFRED	SAUER	NA	1969	9	15
JUERGEN	NA	FRIEDRICH	NA	1951	6	26
MARTIN	NA	KUHN	NA	1936	1	14
ANDRE	NA	MAIER	NA	1996	9	17
MICHAEL	NA	SCHMITZ	NA	1929	3	2
MAIK	NA	MAYER	NA	1971	6	28
DIRK	NA	SCHREIBER	NA	1997	3	15
PETER	NA	MUELLER	NA	1979	1	20
CHRISTOPH	NA	WEBER	NA	1942	1	7
INGO	KARL	SCHMIDT	NA	1982	3	13
WOLFGANG	NA	MUELLER	NA	2002	12	28
UWE	NA	SCHMITT	NA	1954	7	18
ALEXANDER	NA	KRAUSE	NA	1941	6	9
GUENTHER	NA	MUELLER	NA	1956	4	3
JAN	WALTER	JAEGER	NA	1965	3	24
GUENTHER	NA	BRAUN	NA	1930	2	2
CHRISTOPH	NA	KOEHLER	NA	1948	2	29
WERNER	NA	BAUMANN	NA	1955	9	14
ANDREAS	NA	MUELLER	NA	1935	9	4
RAINER	NA	HUBER	NA	1967	6	18
UWE	NA	SCHMIDT	NA	1950	6	15
ROBERT	NA	HAAS	NA	1931	1	24
KLAUS	NA	FISCHER	NA	1963	3	13
PETER	NA	WINTER	NA	1930	7	14
JAN	NA	MUELLER	NA	1974	3	19
STEFAN	NA	KODHLER	NA	1963	6	19
WALTER	NA	ENGEL	NA	2005	6	7
HELMUT	NA	BERGMANN	NA	1932	3	18
HERMANN	NA	LORENZ	NA	1951	10	17
VOLKER	NA	SEIDEL	NA	1989	8	22
HERMANN	NA	BECK	NA	1938	2	13
LARS	NA	BECKER	NA	1963	2	8
THOMAS	NA	HOFFMANN	NA	1982	10	1
HANS	NA	KLEIN	NA	1996	10	26
KURT	NA	SCHMIDT	NA	1969	6	25
DIETER	HERMANN	MUELLER	NA	1970	7	23
JAN	NA	SCHROEDER	NA	1971	11	12
PETER	NA	WAGNER	NA	2002	4	21
THOMAS	NA	KRAUSE	NA	1938	4	4
GERHARD	NA	FRANK	NA	1990	7	10
THOMAS	NA	KAISER	NA	1680	5	13
MANFRED	NA	SIMON	NA	1995	10	9
GERHARD	NA	MUELLER	NA	1958	3	12
MARTIN	NA	SCHMIDT	NA	2004	2	16
WOLFGANG	NA	GUENTHER	NA	1959	7	9
WALTER	NA	ROTH	NA	1974	5	30
BERND	NA	WEBR	NA	1927	11	6
JOACHIM	NA	HOFMANN	NA	2005	12	7
OLAF	NA	KOEHLER	NA	1959	1	10
RALF	NA	BAUEE	NA	1964	2	16
THOMAS	NA	MUELLER	NA	1985	9	13
PHILIPP	NA	RICHTER	NA	1933	5	10
RALF	NA	MUELLER	NA	1966	2	9
ULRICH	NA	ROTH	NA	1969	3	21
KARL	NA	ALBRECHT	NA	1953	8	15
STEFAN	NA	MUELLER	NA	2008	12	29
MICHAEL	NA	FRIEDRICH	NA	1996	9	26
JUERGEN	NA	SCHNEIDER	NA	2000	4	22
FRANK	MARTIN	KOERTIG	NA	1942	4	30
WERNER	NA	HEINRICH	NA	1953	4	23
MANFRED	NA	WEBER	NA	1953	3	18
JUERGEN	NA	SCHMIDT	NA	1969	3	31
THORSTEN	NA	SCHMIDT	NA	1940	7	28
MANFRED	NA	SCHNEIDER	NA	1950	4	8
FRANK	NA	ZIMMERMANN	NA	1933	6	8
GUENTHER	NA	WEBER	NA	1960	12	4
KLAUS	NA	KLEIN	NA	1971	4	11
STEFAN	NA	ROTH	NA	1946	2	9
HANS	NA	RICHTER	NA	1986	4	14
STEFAN	NA	NEUMANN	NA	1995	1	7
WILHELM	NA	BERGMANN	NA	1935	8	11
WOLFGANG	NA	ZIMMERMANN	NA	2005	9	16
HARALD	NA	RICHTER	NA	1940	8	28
JUERGEN	NA	BERGMANN	NA	1960	6	26
HANS	NA	HOFFMANN	NA	1943	8	24
MICHAEL	NA	MUELLER	NA	1960	11	10
ANDREAS	NA	MUELLER	NA	1996	7	19
PETER	NA	SCHULZE	NA	1937	9	24
JOERN	NA	LUDWIG	NA	1965	10	4
MARTIN	NA	FRIEDRICH	NA	1985	11	21
ANDREAS	NA	MEIER	NA	1934	4	11
STEFAN	NA	MUELLER	NA	1941	6	9
BERND	NA	BECK	NA	1940	4	22
ROLF	NA	SCHNID	NA	1954	1	24
STEFAN	NA	KOEHLER	NA	1963	6	19
WERNER	NA	MUELLER	NA	1955	8	6
KURT	NA	KOEHLER	NA	1987	11	6
ANDREAS	NA	WALTER	NA	1935	4	12
MICHAEL	NA	MUELLER	NA	1952	5	13
STEFAN	NA	KRACUSE	WALTER	1954	2	20
RALFC	NA	KUEHN	NA	2005	11	25
KLAUS	NA	MUELLER	NA	1971	10	3
ROLF	NA	ZIMMERMANN	NA	1930	2	26
HORST	NA	KOCH	NA	1977	9	9
WALTER	NA	KRUEGER	NA	1955	12	28
OTTO	NA	SCHREIBER	NA	1958	10	17
PETER	NA	SCHMIDT	NA	2008	6	10
PAUL	NA	SCHULZE	NA	1930	7	6
THOMAS	NA	SCHULTE	NA	1949	1	21
GERHARD	NA	KOCH	NA	1997	3	9
WERNER	NA	LORENZ	NA	1956	4	8
JOERG	NA	KOERTIG	NA	1941	10	4
HEINRICH	NA	HAAS	NA	1965	1	15
GUENTHER	NA	HOFFMANN	NA	1942	11	11
HERBERT	NA	KLEIN	NA	1981	3	26
JUERGEN	NA	KRUEGER	NA	1935	4	23
NILSK	NA	BECK	NA	2001	3	29
WERNER	NA	MEYER	NA	1993	12	24
STEFAN	NA	SCHULTE	NA	1979	1	8
PETER	NA	PETERS	NA	1940	8	19
JUERGEN	NA	WALTER	NA	1953	12	1
RUDOLF	NA	FISCHER	NA	1970	12	22
CARSTEN	NA	GROSS	NA	1979	11	10
SVEN	NA	ZIMMERMANN	NA	1979	5	13
HORST	NA	MUELLER	NA	1981	3	29
HELMUT	NA	DIETRICH	NA	1971	5	11
WERNER	NA	BECKER	NA	1991	3	27
WILLI	NA	PETERS	NA	1963	7	9
KARL	NA	FISCHER	NA	1955	10	22
FRANK	NA	BERGER	NA	1975	1	10
BERNXD	NA	KLEIN	NA	2006	11	12
PETER	NA	SCHMIDT	NA	1995	1	25
DIETER	NA	SCHROEDER	WOLF	1954	1	22
MANFRED	NA	SCHMIDT	NA	1935	7	15
RENE	NA	MUELLER	NA	1980	7	27
PAFUL	NA	PFEIFFER	NA	1956	10	20
CARSTEN	NA	SCHULZ	NA	1965	1	25
WOLFGANG	NA	FISCHER	NA	1936	10	11
GUENTHER	NA	HOFFMANN	NA	1990	4	5
MICHAEL	NA	KOCH	NA	1930	4	8
ANDREAS	NA	WINTER	NA	1966	10	8
GUENTHER	NA	MUELLER	NA	1935	9	17
ALFRED	NA	SCHULZE	NA	1974	10	16
JUERGEN	NA	KRUEGER	NA	1961	3	28
DIRK	NA	SCHMID	NA	1970	8	23
JUERGEN	NA	KOEHLER	NA	1947	1	1
REINHARD	NA	MAIER	NA	1958	7	8
GERHARD	NA	SCHOLZ	NA	1936	5	5
WOLFGANG	NA	SCHULZE	NA	1961	4	23
RALF	NA	KELLER	NA	1947	1	12
HORST	GERHARD	KOCH	NA	1957	2	6
NORBERT	NA	KAISER	NA	1934	4	11
MICHAEL	NA	WOLF	NA	1977	8	17
ALFRED	NA	KOCH	NA	1992	11	9
MICHAEL	NA	SCHNEIDER	NA	1945	10	26
NORBERT	NA	PETERS	NA	2008	6	3
MICHAEL	NA	SAUER	NA	2006	12	24
MATTHIAS	NA	SCHMIDT	NA	1965	12	30
RAINER	NA	KLEIN	NA	1973	6	11
JENS	NA	SCHNEIDER	NA	1928	7	27
WALTER	NA	BERGER	NA	1924	5	25
FRANZ	NA	SCHULZE	NA	1979	2	6
WOLFZGANG	NA	WEISS	NA	1943	12	13
FRIEDRICH	NA	STEIN	NA	1981	10	28
HARALD	NA	GRAF	NA	1950	7	9
THOMAS	NA	BAUER	NA	1961	11	13
RAINER	NA	BAUER	NA	1989	4	21
DIETLER	NA	BAUER	NA	1979	5	22
HARALD	STEFAN	OTTO	NA	1960	5	8
DIETER	PETER	WAGNER	NA	1940	5	3
ANDREAS	NA	KRUEGER	NA	1952	5	5
HERBERT	NA	VOGEL	NA	1949	3	26
FRANZ	NA	MUELLER	NA	1970	8	10
UWE	NA	BECKER	NA	1967	9	11
ANDREAS	NA	SCHAEFER	NA	1954	7	30
UWE	NA	MEYER	NA	2001	4	22
MARTIN	NA	HAHN	NA	1943	3	30
MANFRED	NA	KOERTIG	NA	1949	1	20
UWE	NA	SCHUMACHER	NA	1985	9	8
HEIKO	NA	BECK	NA	1953	12	30
WOLFGANG	NA	MAIER	NA	1978	9	20
AXEL	THORSTEN	FISCHER	NA	2002	7	8
MARTIN	PETER	SCHMIDT	NA	1974	8	18
HORST	NA	MUELLER	NA	1959	6	17
PAUL	NA	MAIER	NA	1958	10	8
MARK	NA	KOCH	NA	1960	9	27
GERD	NA	DIETRICH	NA	1940	7	15
HEINRICH	NA	LUDWIG	NA	1972	5	30
MATTHIAS	NA	MUELLER	NA	1967	12	11
WILLI	NA	FUCHS	NA	1947	10	21
BERND	NA	BAUER	NA	1985	11	11
HEIKO	NA	KAISER	NA	1972	11	27
RAINER	NA	HOFFMSNN	NA	1978	12	10
HELMUT	NA	KLEIN	NA	1987	9	21
JOERIG	NA	WEBER	NA	1976	8	30
HELMUT	NA	ZIMMERMANN	NA	1971	5	29
UWE	NA	LUDWKG	NA	1936	2	22
MICHAEL	NA	HOFMANN	NA	1964	4	12
CHRISTOPH	NA	GUENTHER	NA	1986	5	1
HEINRICH	NA	NEUMANN	NA	2001	8	13
WILLI	NA	ROTH	NA	1945	6	10
MARCEL	NA	KRUEGER	NA	1969	11	27
JUERGEN	NA	FISCHER	NA	1986	3	11
WERNER	NA	HERRMANN	NA	1956	10	13
GERHARD	NA	KAISER	NA	1975	5	29
HORST	NA	MAIER	NA	1988	12	2
JAN	NA	WALTER	NA	2001	4	3
CHRISTIAN	NA	DIETRICH	NA	1959	3	29
KLAUS	NA	LANG	NA	1967	11	15
HORST	NA	VOGEL	NA	1979	1	29
KLAUS	NA	WINTER	NA	1981	11	24
FRANK	NA	PETERS	NA	1990	6	1
PETER	NA	FRANKE	NA	1967	10	2
GUENTHER	NA	SCHULZE	NA	1970	7	10
HERMANNU	NA	KOHC	NA	1925	7	7
HOLGER	NA	KRAUS	NA	1984	8	27
ANDREAS	NA	HOFMANN	NA	1979	2	19
BERND	ANDREAS	SCHULZ	NA	2008	11	6
GERD	NA	WOLF	NA	1964	1	8
UWE	NA	SCHOLZ	NA	1970	10	11
GUENTHER	NA	ZIMMERMANN	NA	1961	8	14
PAUL	NA	MAYER	NA	1941	9	23
DIETER	NA	SCHMITZ	NA	1949	1	25
GERHARD	NA	MEYER	NA	1947	10	24
GUENTHER	NA	MUELLER	NA	1973	4	24
ANDREAS	NA	SCHMIDT	NA	1993	8	10
ANDREAS	NA	ZIEGLER	NA	1965	4	12
CHRISTIAN	NA	WEBER	NA	1996	5	29
SVEN	NA	FISCHER	NA	1940	2	19
ANDREAS	NA	WINKLER	NA	1930	9	6
PETER	NA	HUBER	NA	1968	7	10
WALTER	NA	SOMMER	NA	1961	4	5
GEORG	KLAUS	KLEIN	NA	1966	5	9
WALTER	NA	KOCH	NA	1928	10	1
MANFRED	NA	FUCHS	NA	1956	7	18
THOMAS	NA	FISCHER	NA	1955	1	15
HANS	NA	BERGER	NA	1974	9	17
ROLF	NA	RICHTER	NA	1950	1	24
HARALD	NA	HAHN	NA	1966	10	15
GUENTHER	NA	MUELLER	NA	1985	11	16
PETER	NA	SCHROEDER	NA	1997	1	18
MATTHIAS	NA	SCHWARZ	NA	1971	4	26
RICHARD	NA	MEYER	NA	2004	4	6
PETER	NA	HOFWANN	NA	1925	3	21
THOMAS	NA	KRAUSE	NA	1956	5	17
CHRISTIAN	NA	MUELLER	NA	1988	7	21
KURT	NA	PETERS	NA	1943	7	16
WERNER	NA	LANG	NA	1939	7	23
GUENTHER	NA	PFEIFFER	NA	1966	12	2
HARALD	NA	BAUER	NA	1986	1	4
OLIVER	NA	BAUER	NA	1950	1	17
DIRK	NA	FRANKE	NA	1953	10	16
WOLFGANG	NA	KAISER	NA	1980	9	27
GUENTHER	NA	SIMON	NA	1965	2	6
WERNER	NA	BAUER	NA	1990	6	5
HEINRICH	NA	KOERTIG	NA	1990	2	14
THOMAS	NA	SCHULZ	NA	1955	5	7
DIRK	NA	KUHN	NA	1931	3	12
THOMAS	WALTER	KUEHN	NA	1945	4	12
HELMUT	NA	BERGER	SCHAEFER	1964	7	31
MARTIN	NA	SCHNEIDER	NA	1943	8	25
RALF	NA	LORENZ	NA	1983	3	14
JAN	NA	FUCHS	NA	1999	6	26
THORSTEN	NA	MUELLER	NA	1959	9	28
JUERGEN	NA	KRAEMER	NA	1965	3	15
DIETER	NA	SCHNEIDER	NA	1942	8	11
KARRL	NA	SEIDEL	NA	1958	4	26
ANDREAS	NA	LEHMANN	NA	1988	12	8
KARL	NA	SCHMIDT	NA	1998	11	21
SVEN	NA	SCHMID	NA	1984	7	23
PAUL	NA	HARTMANN	NA	1963	6	14
THOMAS	NA	SCHULZ	NA	1954	7	27
THOMAS	NA	SCHMIDT	NA	1966	11	11
KURT	NA	MUELLER	NA	1963	7	21
JUERGEN	NA	GROSS	NA	1961	5	8
FRANK	NA	SCHROEDER	NA	1966	3	19
JAN	NA	KRUEGER	NA	1960	3	22
MARTIN	NA	WEBER	NA	1990	3	28
OTTO	NA	SCHMIDT	NA	1954	7	25
WALTER	JUERGEN	MEIER	NA	1993	9	26
FRANK	NA	GUENTHER	NA	1965	12	28
CHRISTIAN	NA	SCHMIDT	NA	1950	9	22
WOLFGANG	NA	BRAUN	NA	1968	11	18
HELMPUT	NA	BERGER	SCHAEFER	1964	7	31
HANS	NA	ZIMMERMANN	NA	1944	7	31
TIM	NA	SCHMID	NA	1940	2	20
AXEL	NA	LANG	NA	1971	9	1
THOMAS	NA	BECK	NA	1943	3	30
JENS	NA	KOEHLER	NA	2004	6	9
JENS	NA	HERRMANN	NA	1941	12	4
JUERGEN	CHRISTIAN	SCHREIBER	NA	1954	3	31
STPEFAN	NA	MUELLER	NA	1941	6	9
LOTHAR	NA	GROSS	NA	1968	11	26
MANFRED	NA	KRAUSE	NA	1932	1	31
WOLFGANG	NA	ZIMMERMANN	NA	2006	2	3
DIETER	NA	SCHMIDT	NA	1928	4	5
GERHARD	NA	SCHULZ	NA	1973	6	23
ANDREAS	NA	WEBER	NA	1952	10	17
JAN	NA	BECK	NA	1924	12	15
HERMANN	NA	POHL	NA	1965	2	9
TOBIAS	NA	GROSS	NA	1963	2	22
CHRISTIAN	NA	SCHULZ	NA	1967	8	14
DIRK	PAUL	DIETRICH	NA	1974	4	11
HORST	NA	BAUER	NA	1979	2	12
FRANK	NA	MUELLER	NA	1958	12	20
WOLFGANG	NA	HAAS	NA	1965	2	20
ANDREAS	NA	FISCHER	NA	2003	1	6
DIETER	MATTHIAS	MEYER	NA	1983	10	13
THOMAS	NA	WERNER	NA	1968	7	14
VOLKER	NA	HEINRICH	NA	1943	1	29
MARK	NA	POHL	NA	1993	11	29
BERND	NA	SCHULZ	NA	1953	10	14
WERNER	NA	SCHROEDER	NA	1963	7	17
RUDOLF	NA	MUELLER	NA	1962	1	15
MARTIN	NA	SCHNEIDER	NA	2006	1	25
WERNER	NA	SCHMIDT	NA	1975	11	21
ANDREAS	NA	KRAUS	NA	1928	9	22
HORST	NA	SCHOLZ	NA	1962	5	6
JOACHIM	NA	WINKLER	NA	1992	8	25
JUERGEN	NA	MUELLER	NA	1943	10	6
GERD	NA	GUENTHER	NA	1976	5	4
DIETER	NA	KRAEMER	NA	1939	8	19
UWE	NA	WERNER	NA	1943	8	4
HORST	NA	SCHUBERT	NA	1927	4	14
JUERGEN	NA	KELLER	NA	1959	9	5
JOACHIM	NA	SCHOLZ	NA	1979	3	13
MANFRED	NA	MUELLER	NA	1975	2	19
HORST	NA	MAYER	NA	1972	1	14
GUENTHER	NA	SCHMITT	NA	1996	6	22
DIETER	NA	WOLFF	NA	1950	3	11
CHRISTIAN	NA	MUELLER	NA	1963	7	23
MANFRED	NA	FRIEDRICH	NA	1962	5	5
UWE	NA	NEUMANN	NA	1986	5	3
STEFAN	KURT	KRAUSE	NA	1979	9	11
HORST	NA	HUBER	NA	1993	3	4
WOLFGANG	NA	FISCHER	NA	1966	6	17
MATTHIAS	NA	SAUER	NA	1993	12	1
CHRISTOPH	NA	SIMON	NA	1960	9	4
GUENTHER	NA	BECK	NA	1955	4	17
UWE	NA	KRAEMER	NA	1969	9	30
RAINER	NA	SCHULZE	NA	1937	7	22
ALEXANDER	NA	SCHMITT	NA	1973	3	20
KLAUS	NA	MEIER	NA	1972	3	20
BERND	NA	KAISER	NA	1961	2	17
HELMUT	NA	SCHWARZ	NA	2006	12	4
JUERGEN	NA	MEYER	NA	1988	8	15
KLAUS	NA	LEHMANN	NA	1966	6	7
DIETER	NA	SCHMITZ	NA	1954	8	8
HERMANN	NA	ZIMMERMANN	NA	1957	9	3
HEINZ	NA	FUCHS	NA	2008	12	19
MATTHIAS	NA	WERNER	NA	1974	9	29
HORST	NA	KRUEGER	NA	1965	2	4
STEFAN	NA	KOERTIG	SCHMITT	1980	5	5
ANDRE	NA	VOGEL	NA	1943	8	10
LARS	NA	MUELLER	NA	1959	1	10
BERND	NA	SCHMIDT	NA	1937	7	23
CHRISTIAN	NA	SCHULZ	NA	1952	11	8
PELTER	NA	WAGNER	NA	1998	6	17
JENS	NA	FISCHER	NA	1969	2	18
WERNER	NA	WAGNER	NA	1960	2	11
PETER	NA	MEIER	NA	1948	6	16
SVEN	NA	HOYRN	NA	1940	5	18
HELMUT	NA	WINTER	NA	1986	5	14
WILHELM	NA	HORN	NA	1965	10	23
ROLF	NA	FRIEDRICH	NA	1968	9	11
KARL	NA	THOMAS	NA	2001	3	8
MICHAEL	NA	WAGNER	NA	1927	3	10
WOLFGANG	NA	SCHOLZ	NA	2008	6	21
WERNER	NA	SCHUMACHER	NA	1969	6	3
JUERGEN	NA	SAUER	NA	1981	8	3
KLAUS	NA	SCHMIDT	NA	2008	5	23
FRANK	NA	FISCHER	NA	1964	12	14
RAINER	NA	WEBER	NA	1996	3	3
CHRISTIAN	NA	NEUMANN	NA	1979	2	25
HORST	NA	KOCH	NA	1943	4	17
HORST	FRIEDRICH	LANGE	NA	1975	4	19
HANS	NA	BECKER	NA	1961	4	12
DIRK	NA	KUHN	NA	1929	5	6
MARKUS	NA	KOEHLER	NA	1970	2	15
FRANK	NA	SCHROEDER	NA	1953	2	5
JUERGEN	NA	SCHROEDER	NA	1940	8	12
ROLF	NA	MUELLER	NA	1957	5	8
GUENTHER	NA	KLEIN	NA	1980	5	31
WERNER	RALF	ZIEGLER	NA	1942	12	2
HANS	NA	SCHILZ	NA	1980	5	17
HARALD	NA	SCHAEFER	NA	1986	1	28
MICHAEL	NA	DIETRICH	NA	1987	4	13
FRANK	NA	LANGE	NA	1937	11	12
JUERGEN	NA	GRAF	NA	1988	4	1
BENJAMIN	NA	ZIMMERMANN	NA	1961	8	28
SVEN	NA	MAYER	NA	1941	5	9
BERND	NA	KLEIN	NA	1963	5	24
MICHAEL	NA	WEBER	NA	1975	3	6
HARALD	NA	DIETRICH	NA	1988	1	22
HEINZ	NA	GUENTHER	NA	1929	5	19
WOLFGANG	NA	ENGEL	NA	2007	12	19
HORST	NA	MUELLER	NA	1991	9	7
UWE	NA	MUELLER	KRAEMER	1966	8	9
WERNER	NA	VOIGT	NA	1971	2	11
THORSTEN	NA	KRAUS	NA	1966	12	26
STEFAN	NA	VOGEL	NA	1988	1	16
KLAUS	NA	BAUER	NA	1974	8	2
BERND	NA	WEBER	NA	1927	11	6
FRANK	NA	BECK	NA	2004	8	18
CHRISTIAN	NA	BECKER	NA	1925	10	18
DIETER	WOLFGANG	MEIER	NA	1959	8	21
HELMUT	NA	JAEGER	NA	1971	6	9
PATRICK	NA	KAISER	NA	1972	8	14
WERNER	NA	SCHMIDT	NA	1956	10	8
STEFAN	NA	SCHMIDT	NA	1950	9	22
JOERG	NA	SCHOLZ	NA	1935	5	5
PETER	NA	FRANKE	NA	1961	2	20
ANDREAS	NA	ROTH	NA	1940	3	5
JOACHIM	KLAUS	SCHMIDT	NA	1977	9	22
JOACHIM	NA	NEUMANN	NA	2005	11	13
HANS	NA	GRAF	NA	1945	10	31
ROBERT	NA	WAGNER	NA	1945	6	20
KLAUS	NA	WINTER	NA	1937	8	6
CHRISTIAN	NA	MEYER	NA	1997	6	7
PETER	NA	BAUER	NA	1930	11	17
THORSTEN	NA	MUELLER	NA	1951	8	12
ANDRE	NA	MAIER	NA	1929	1	11
FRANK	CARSTEN	FRANK	NA	1965	11	9
STEFAN	NA	JUNG	NA	1947	7	29
JUERGEN	NA	SCHROEDER	NA	1935	3	15
WOLFGANG	NA	KOCH	NA	1988	6	7
ALEXANDER	NA	SCHAEFER	NA	1938	8	22
WOLFGANG	NA	WAGNER	NA	2004	7	21
GERHARD	NA	FISCHER	NA	1967	10	20
MANFRED	NA	KOERTIG	NA	1940	1	25
RALF	NA	SCHOLZ	NA	1963	3	17
GUENTHER	HANS	SCHULZ	NA	1931	9	3
HANS	NA	FRANKE	NA	1973	10	28
DIRK	NA	FISCHER	NA	1926	2	24
JOERG	NA	FISCHER	NA	1938	2	9
WOLFGASNG	BERND	MAIER	NA	1928	2	6
GUENTHER	NA	MEYER	NA	1996	8	6
MARTIN	NA	RICHTER	NA	1978	1	4
MARTIN	NA	HARTMANN	NA	1990	10	2
UWE	NA	BECKER	NA	1946	6	1
WILFRIED	FRANK	SCHNEIDER	NA	1959	3	92
MARKUS	NA	MEYER	NA	1980	10	8
UWE	NA	SCHMITT	NA	1936	6	7
UWE	NA	SCHROEDER	NA	2002	2	28
ROBERET	NA	KLEIN	NA	1942	10	14
JUERGEN	NA	SCHMID	NA	1983	10	27
ANDREAS	NA	KUEHN	NA	1944	5	19
JAN	NA	MARTIN	NA	1968	12	13
RAINER	NA	GROSS	NA	1950	1	22
STEFAN	NA	KRAUSE	WALTER	1954	2	20
CARSTEN	NA	WALTER	NA	1970	8	4
JUERGEN	NA	BUSCH	NA	1940	8	8
HORST	WERNER	RICHTER	NA	2008	12	10
